"","City","Average_Rating"
"489045","Ivrem-Buzruco",4
"491421","Jadupur",5
"491423","Jagdalpur",4.18518518518519
"491427","Jagadhri",5
"491762","Jageshwar",4.03030303030303
"491832","Jaggaiahpet",4.18181818181818
"491843","Jaipur",4.23546411432511
"491854","Jaigaon",4
"491858","Jagraon",4
"493425","Amer",4.43400617430539
"550631","Jaisalmer",3.98638415610893
"564308","Jajpur",3.8135593220339
"564388","Jalandhar",4.4560327198364
"564434","Jakrem",3.66666666666667
"565398","Jalgaon",4.36931818181818
"565408","Jalasangvi",3
"565585","Jalna",4.41666666666667
"565593","Jalore",4.3921568627451
"565648","Jalpaiguri",4.21483375959079
"566021","Jambughoda",4.26470588235294
"566035","Jambusar",3.86666666666667
"566093","Jammu City",4.16082802547771
"569221","Jamnagar",4.18347895154885
"570485","Jamshedpur",4.34991119005329
"571628","Janakpuri",4.69230769230769
"571639","Jamui",3
"571640","Janjgir",3.91666666666667
"571646","Jamtara",4.66666666666667
"571652","Jashpur",4
"571659","Jariput",4.4
"571668","Jaunpur",4.19354838709677
"571779","Jawhar",4.31506849315068
"571816","Jawahar",5
"571855","Jejuri",4.18292682926829
"571950","Jetpur",4.5
"571956","Jeypore",4.31578947368421
"572032","Jhajjar",4.21875
"572119","Jhalawar",4.27027027027027
"572189","Jhansi",4.03811659192825
"572201","Jhalrapatan",4.33333333333333
"572655","Jharsuguda",4.3
"572673","Jhargram",5
"572674","Jhunjhunu",4.34640522875817
"572811","Jim Corbett National Park",4.16371158392435
"572841","Jibhi",5
"573240","Ramnagar",4.24
"574539","Jodhpur",4.282819942839
"590282","Joginder Nagar",4.08333333333333
"590306","Jolaibari",3.8
"590307","Jorhat",3.99004975124378
"590507","Jowai",4.23275862068965
"590739","Junagadh",4.02773650321942
"590751","Jubbal",3.81818181818182
"592764","Junnar",3.97826086956522
"593110","Kadapa",4.17391304347826
"593153","Kadi",4.25531914893617
"593163","Kadayam",3
"593187","Kadiri",3.5
"593210","Kakinada",4.21074380165289
"593214","Kailashahar",3
"593216","Kaikaluru",3.88888888888889
"593235","Kaipadar",4.4
"593428","Kakkabe",3.88095238095238
"593868","Kaladhungi",3.70810810810811
"594063","Kalady",4.0635838150289
"594225","Kalasa",4.18181818181818
"594270","Kaleshwaram",3.71428571428571
"594287","Kalimpong",4.3445671121441
"596016","Kallar",4.17857142857143
"596028","Kalka",4.30555555555556
"596063","Kalna",3.76190476190476
"596104","Kalpa",3.6986301369863
"596177","Kalpetta",4.04146995023606
"603998","Kalsi",3.75
"604016","Kalyan",4.15151515151515
"604039","Kalyani",4.33333333333333
"604289","Kamargaon",4.40909090909091
"604315","Kamarpukur",3.86046511627907
"604353","Kammasandra",4.05555555555556
"604378","Kamavarapukota",4.16666666666667
"604490","Kamshet",4.55555555555556
"604497","Kamod",3.75
"604735","Kanakapura",3.88888888888889
"604737","Kanadukathan",4.1864406779661
"604976","Kanchipuram",4.08376575240919
"606324","Chail",4.21314387211368
"607434","Kanger Valley National Park",4.2890625
"607471","Kangar Dharyar",3
"607472","Kandla",5
"608421","Kanha National Park",4.24390243902439
"608456","Kanhangad",4.33333333333333
"608486","Kanipakam",4.32530120481928
"608583","Kanjirappally",4.5
"608591","Kannan Devan Hills",4.31111111111111
"608601","Kanker",4.35294117647059
"608614","Kannad",4.18181818181818
"608934","Kannauj",4
"608936","Kannur",4.26067323481117
"611278","Thottada",4.42690058479532
"611517","Kanoi",4.12286002014099
"612540","Kanpur",4.29428044280443
"613600","Kanyakumari",4.12585181963172
"613620","Kanthalloor",4.0625
"613670","Kantilo",4
"620545","Kapurthala",3.92592592592593
"620577","Karad",4.45
"620593","Karaikal",4.0546875
"620747","Karaikudi",4.13438735177866
"620989","Karauli",4.30487804878049
"621141","Kargil",3.21656050955414
"621660","Lamayuru",4.2992700729927
"621985","Karimnagar",4.26388888888889
"622041","Karjat Town",4.24
"622136","Neral",4.03448275862069
"622188","Karkala",4.1
"622382","Karnala",4.12213740458015
"622543","Karnal",4.36065573770492
"622737","Karsha",4
"622743","Karsog",4.33333333333333
"622752","Karur",4.22916666666667
"622851","Karuvarakundu",4.5
"622859","Karwar",4.17620650953984
"623715","Kasaragod",4.22058823529412
"624697","Dharampur",4.18181818181818
"624699","Kasarkod",4.66666666666667
"624713","Kasauli",4.21082621082621
"626477","Kashid",4.37234042553191
"627229","Kashipur",4.16666666666667
"627239","Kasol",4.4
"627246","Kas",4.07982261640798
"627697","Kathua",4.57142857142857
"627702","Katni",4.22535211267606
"627758","Katra",4.21673819742489
"627803","Katoya",3
"628249","Kausani",4.11953833470734
"628259","Kattoor",4.73684210526316
"629443","Kaushambi",4.45571955719557
"630014","Kavaratti Island",4.12222222222222
"630091","Kawardha",4.31578947368421
"630154","Kavi",4.4
"630168","Kayamkulam",4.17241379310345
"630214","Kayavarohan",4.23076923076923
"630230","Kaza",4.0829420970266
"630869","Kaziranga National Park",4.22878228782288
"631157","Kedarnath",3.80444444444444
"631590","Kemmannagundi",4.36363636363636
"631591","Kelwa",3.5
"631603","Keonjhar",4.65454545454545
"631713","Ketkawale",4.45
"631733","Kesariya",3.9
"631763","Kevadia",4.22105263157895
"631849","Keylong",4.14450867052023
"632011","Khajjiar",4.03125
"632075","Khairabad",3
"632076","Khajuraho",4.22324840764331
"635246","Khammam",4.21153846153846
"635262","Khalapur",5
"635311","Khandwa",4.22857142857143
"635346","Kharagpur",4
"635350","Khanvel",4.22222222222222
"635359","Khargone",4.5
"635369","Khatkar Kalan",4.125
"635377","Kheda",4.12025316455696
"635529","Khichan",4
"635559","Khed",4
"635602","Khetri",4.66666666666667
"635605","Khonoma",4.18055555555556
"635675","Khodala",5
"635684","Khopoli",4.64733298808907
"635720","Khonsa",2.5
"645322","Khubi",4.51190476190476
"645361","Khordha",4.22222222222222
"645434","Khuldabad",3.3125
"645440","Khurda",4.36633663366337
"645470","Khunti",4.41666666666667
"645563","Kishangarh",3.96153846153846
"645569","Khurja",4.66666666666667
"645572","Kidanganad",5
"645575","Kiriburu",2
"645593","Kochi (Cochin)",4.18516835781715
"645667","Aluva",4.82187070151307
"645725","Ernakulam",4.24634794156707
